date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:48:25	685/685	---M--	200	added ('OK')	application/javascript	date:Thu,%2018%20Apr%202019%2018:26:02%20GMT	https://shenandoahliterary.org/wp-content/themes/ShenAleph-landing-page/js/skip-link-focus-fix.js?ver=20151215	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-content/themes/ShenAleph-landing-page/js/skip-link-focus-fix4a7d.js	(from https://shenandoahliterary.org/)
11:48:25	1403/1403	---M--	200	added ('OK')	application/javascript	date:Thu,%2030%20Aug%202018%2012:40:26%20GMT	https://shenandoahliterary.org/wp-includes/js/wp-embed.min.js?ver=5.1.1	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/wp-includes/js/wp-embed.min3c21.js	(from https://shenandoahliterary.org/)
11:48:26	5/5	---M--	200	added ('OK')	text/css	etag:%225ad67da0-5%22	https://p.typekit.net/p.css?s=1&k=nci7nxi&ht=tk&f=15966.6812.6813.6814.6815.6816.6817.6818.6819&a=15691789&app=typekit&e=css	C:/Users/changj19/Downloads/websites/Shenandoah/p.typekit.net/p0c1d.css	(from https://use.typekit.net/nci7nxi.css)
11:48:26	20584/20584	---MC-	200	added ('OK')	text/html	date:Tue,%2030%20Apr%202019%2015:48:26%20GMT	https://shenandoahliterary.org/681/our-museum-of-the-future/	C:/Users/changj19/Downloads/websites/Shenandoah/shenandoahliterary.org/681/our-museum-of-the-future/index.html	(from https://shenandoahliterary.org/)
11:48:26	15148/15148	---M--	200	added ('OK')	application/font-woff2	etag:%222e5e1a95c1e8f69666e7191ae70b8e91792caae0%22	https://use.typekit.net/af/90d6c6/00000000000000000001232f/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/90d6c6/00000000000000000001232f/27/le196	(from https://use.typekit.net/nci7nxi.css)
11:48:27	18200/18200	---M--	200	added ('OK')	application/font-woff	etag:%222e5e1a95c1e8f69666e7191ae70b8e91792caae0%22	https://use.typekit.net/af/90d6c6/00000000000000000001232f/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/90d6c6/00000000000000000001232f/27/de196	(from https://use.typekit.net/nci7nxi.css)
11:48:27	30400/30400	---M-Z	200	added ('OK')	font/opentype	etag:W/%222e5e1a95c1e8f69666e7191ae70b8e91792caae0%22	https://use.typekit.net/af/90d6c6/00000000000000000001232f/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/90d6c6/00000000000000000001232f/27/ae196	(from https://use.typekit.net/nci7nxi.css)
11:48:27	58396/58396	---M--	200	added ('OK')	application/font-woff2	etag:%22d9798cccff8b8f0acacc5f4ad5d0e05435ba374c%22	https://use.typekit.net/af/ea8d85/0000000000000000000151d1/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/ea8d85/0000000000000000000151d1/27/l652f	(from https://use.typekit.net/nci7nxi.css)
11:48:27	77384/77384	---M--	200	added ('OK')	application/font-woff	etag:%22d9798cccff8b8f0acacc5f4ad5d0e05435ba374c%22	https://use.typekit.net/af/ea8d85/0000000000000000000151d1/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/ea8d85/0000000000000000000151d1/27/d652f	(from https://use.typekit.net/nci7nxi.css)
11:48:27	178392/178392	---M-Z	200	added ('OK')	font/opentype	etag:W/%22d9798cccff8b8f0acacc5f4ad5d0e05435ba374c%22	https://use.typekit.net/af/ea8d85/0000000000000000000151d1/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n7&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/ea8d85/0000000000000000000151d1/27/a652f	(from https://use.typekit.net/nci7nxi.css)
11:48:28	69492/69492	---M--	200	added ('OK')	application/font-woff2	etag:%22d14037c0ac9eb6d21f388fcaf3537ff43d122d38%22	https://use.typekit.net/af/bc1d75/0000000000000000000151d2/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=i7&v=3	C:/Users/changj19/Downloads/websites/Shenandoah/use.typekit.net/af/bc1d75/0000000000000000000151d2/27/le265	(from https://use.typekit.net/nci7nxi.css)
